Timestamp,Years of experience with Python?,I have used .... ,What discipline most interests you?,What has been your favorite of Brandyn's Guided Projects?,What would you like to see in the next guided project?,fav type of project,Ideal length of project?,Years of experience with sklearn,years of experience with pandas,years of experience with Tensorflow,genre type of dataset you enjoy working with,"what can brandyn do to improve overall quality?  ie. increase/decrease pace, change format of workflow, add/decrease how much is left to fill in.  Every suggestion is like a new update of my parameters and little by little just like a NN improves it's predictions epoch by epoch I improve with each suggestion.  Thank you all in advance
Teacher Brandyn","If you've like the videos please give me a review
here",years with seaborn
8/1/2022 6:12:13,5,"Pandas, Seaborn, YellowBrick, Sklearn, Tensorflow",Deep Learning,Google Stock Prediction with Tensorflow using LSTM,t,Medical Health or sickness prediction,15 min,,,,,,,
8/6/2022 9:58:39,1,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis",Clueless ,"Financial stock, default, real estate predictions",30 min,0,1,1,Csv,,,
8/6/2022 22:26:17,1,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Learn,"Financial stock, default, real estate predictions",40 min,0,1,0,Number,,,
8/6/2022 23:23:42,0,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Medical prediction ,Medical Health or sickness prediction,30 min,0,0,0,All,,,
8/7/2022 2:29:25,2,,Data Analysis,Ensemble Methods Diabetes Prediction,Predicting stock price ,"Financial stock, default, real estate predictions",20 min,2,2,0,Stock market data,,,
8/7/2022 3:46:40,0,,Data Analysis,,Data analysis,Medical Health or sickness prediction,40 min,0,0,0,Dw,,,
8/7/2022 12:11:34,1year,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Shares analysis,"Machine Learning Prediction, Data Analysis with Pandas",15 min,0,1year,0,"stock market, medical / healthcare, marketing, images, business",,,
8/7/2022 17:22:40,0,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",Decission tree,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,"stock market, medical / healthcare, marketing, images, nlp, business, physcology / human nature, current events",,,
8/7/2022 19:26:59,0,,Data Analysis,,n/a,"Data Analysis with Pandas, Data Analysis with Seaborn",10 min,0,0,0,"stock market, medical / healthcare, marketing, business, current events",,,
8/7/2022 21:07:51,0,,Data Analysis,Ukraine War Data Analysis,Any data analysis project,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,0,0,0,"stock market, marketing, images, business, current events",,,
8/7/2022 22:32:33,2,,Machine Learning,Google Stock Prediction with Tensorflow using LSTM,Any,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",20 min,1.5,1.5,1.5,"stock market, medical / healthcare, nlp, business",,,
8/8/2022 1:25:50,1,,Data Analysis,Ensemble Methods Diabetes Prediction,Health care ,"NLP Text generation, Data Analysis with Pandas, Data Analysis with Seaborn",15 min,3 month ,1,0,medical / healthcare,Use more new python module ,,
8/8/2022 3:28:01,1,,Data Analysis,Ukraine War Data Analysis,Clueless,"Data Analysis with Pandas, Data Analysis with Seaborn",30 min,1,1,1,"stock market, business, physcology / human nature",,,
8/8/2022 6:49:14,2,,Data Analysis,Drugged Islanders Data Analysis,Mining project ,Data Analysis with Pandas,30 min,0,2,0,images,,,
8/8/2022 7:43:39,5 months,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",all,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,a little,5 months,0,"stock market, medical / healthcare, marketing, nature, business, current events, finance",,,
8/8/2022 11:46:12,3 months,,Machine Learning,This my first time I have come this post.,I am able to learn whatever you will share.,Machine Learning Prediction,40 min,1 month,3 months ,0,stock market,,,
8/8/2022 12:04:06,1+ years ,,Machine Learning,"Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, Insurance premium prediction , all supervised and unsupervised projects ",Machine learning project and data analytics project,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,5 months ,1 year ,,"medical / healthcare, marketing, business, Insurance, education",,,
8/9/2022 16:43:25,1,,Data Analysis,Ukraine War Data Analysis,Visual,Data Analysis with Pandas,30 min,,0.1,0,"medical / healthcare, marketing, business",,,
8/9/2022 17:11:16,3,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",Explanation on how to build machine Learning prediction models ,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,2,3,0,"stock market, medical / healthcare, images, nlp, business, physcology / human nature, current events",Increase ,,
8/9/2022 22:26:08,new,,Deep Learning,Drugged Islanders Data Analysis,i like to see some bacteria simulations,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,none,new,none,medical / healthcare,,,
8/10/2022 12:14:29,1 year,,Data Analysis,"Ukraine War Data Analysis, Drugged Islanders Data Analysis",data analysis,"NLP Text generation, NLP sentiment prediction, Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,00,1 year,00,"stock market, medical / healthcare, images, nature, physcology / human nature",,,
8/10/2022 20:04:25,02,,Data Analysis,"Ukraine War Data Analysis, Drugged Islanders Data Analysis",data visualisation,"Data Analysis with Pandas, Data Analysis with Seaborn",40 min,00,02,00,"stock market, medical / healthcare, marketing, images, nlp, nature, business, physcology / human nature, current events",,,
8/11/2022 23:15:02,1,,Data Analysis,Ensemble Methods Diabetes Prediction,Apis,Data Analysis with Pandas,40 min,0,0,0,stock market,,,
8/12/2022 1:19:07,2 months,,Machine Learning,This is my first,Machine learning,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,,1 month,,"images, nature, business, Science",,,
8/13/2022 6:15:34,2 YEARS,,Data Analysis,"Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",data analysis,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,00,2 YEARS, 1 YEARS,"stock market, medical / healthcare, marketing, images, nature, business, physcology / human nature, current events",thank,,
8/13/2022 10:10:26,2,,Deep Learning,Google Stock Prediction with Tensorflow using LSTM,More stock or crypto predictions,Machine Learning Prediction,40 min,1,2,0,"stock market, marketing, business",Thank you for sharing these type of content,,
8/17/2022 0:25:25,2,,Data Analysis,Ukraine War Data Analysis,IT marketing ,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,1,1,1,"marketing, business, current events",,,
8/21/2022 4:27:16,No experience ,,Data Analysis,,I want to learn everything ,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,No experience ,No experience ,No experience ,"stock market, medical / healthcare, marketing, images, nlp, nature, business, physcology / human nature, current events",I want to learn data analysis From real data analytics projects,,
8/24/2022 7:10:25,0,,Machine Learning,I'm new,survival analysis for rate of churn,"Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,All data,,,
9/1/2022 7:35:13,5,,Deep Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction",more crypto,"NLP Text generation, NLP sentiment prediction, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,5,5,5,"stock market, nlp",good question .... let me think ... will feedback ,,
9/3/2022 22:14:16,1,,Machine Learning,"Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction",Pandemic prediction ,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",20 min,1,1,0,medical / healthcare,,,
9/9/2022 1:28:17,2,,Deep Learning,Google Stock Prediction with Tensorflow using LSTM,deep learning,ComputerVision,40 min,2,2,2,images,,,
9/11/2022 18:35:06,Fresher,,Data Analysis,Sorry i am new,I dnt know,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,Fresher,Fresher,,"marketing, business",,,
9/13/2022 19:46:06,fresher,,Data Analysis,jupyter notebook, bank marketing dataset analysis,Data Analysis with Pandas,15 min,fresher,fresher,fresher,bank marketing ,,,
9/16/2022 5:47:46,1,,Data Analysis,Drugged Islanders Data Analysis,Predictive analytics ,"Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",15 min,O,1,0,"stock market, medical / healthcare, marketing, business",,,
9/26/2022 13:07:18,0,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Drugged Islanders Data Analysis, ClassicCars MPG Prediction",NLP,"NLP Text generation, NLP sentiment prediction, ComputerVision, Data Analysis with Pandas, Data Analysis with Seaborn",10 min,,0,0,"stock market, marketing, nlp, business",mere clear explantion,,
9/26/2022 13:21:35,3 months,,Data Analysis,New here ,Health insurance an analysis of claims ,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,0,0,0,"medical / healthcare, business",New,,
9/27/2022 10:40:55,1,,Machine Learning,Google Stock Prediction with Tensorflow using LSTM,YES,Machine Learning Prediction,30 min,1,1,0,business,"Actionnely i'm  a new student  in machine learning , and i'm learning from your work a lot , just keep on and good luck ",,
9/28/2022 19:18:01,3,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",credit score,"Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,1,3,1,"stock market, marketing, images, business",,,
9/29/2022 5:52:48,<1 year,,Data Analysis,Marketing analysis guided lesson,Market analysis or anything on customer experience,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,Less than 3 monts. Bare basics,<1 year,Barely any,business,None i can think of.  Learning objectives and guided pace is to the dot. :),,
10/4/2022 6:04:23,NA,,Data Analysis,data analyst job listing  data analysis,Anything will do,Data Analysis with Pandas,40 min,,None,,marketing,,,
10/6/2022 2:04:14,4 years,,Deep Learning,Cat dog images classification ,New thing,"ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",15 min,2 years ,3 years ,2 years,"stock market, medical / healthcare, marketing, images, nature, business, physcology / human nature, current events",Data augmentation ,,
10/24/2022 12:11:00,3,,Machine Learning,"Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, data analysis of Sri Lanka Economy",Full,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Data Analysis with Pandas",30 min,2,2,2,"stock market, medical / healthcare, marketing, images, nlp, business",,,
10/24/2022 14:38:41,0,,Data Analysis,"Ukraine War Data Analysis, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",  ,"Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,"stock market, medical / healthcare, marketing, images, nature, business, physcology / human nature, current events",  ,,
10/24/2022 18:45:08,Less than 6 months,,Machine Learning,First timer,Guide to Python programming language and libraries,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,None,No experience,None,"stock market, medical / healthcare, marketing, images, nlp, nature, business",Be is good,,
10/24/2022 19:56:54,0,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",Deep leaning,Machine Learning Prediction,40 min,0,0,0,physcology / human nature,,,
10/24/2022 22:06:42,1,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",IA,"NLP sentiment prediction, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,1,1,1,"stock market, marketing, business",Ok,,
10/24/2022 22:17:42,0,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",Not sure ,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,"stock market, medical / healthcare, marketing, nlp, business",,,
10/25/2022 0:06:12,1,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, ClassicCars MPG Prediction, data analysis of Sri Lanka Economy",EDA,"NLP Text generation, NLP sentiment prediction, Machine Learning Prediction, Machine Learning Cluster",30 min,0,1,0,"medical / healthcare, marketing, nlp, business",,,
10/25/2022 0:57:49,1,,Data Analysis,,Analysis ,Data Analysis with Pandas,40 min,0,1,0,"nature, business, current events",,,
10/25/2022 2:17:02,1,,Data Analysis,Flood Geo Location,Climate related projects,Data Analysis with Pandas,30 min,0,1,0,"nature, Climate Science",,,
10/25/2022 2:17:04,Machine Python ,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy, Data others ",Intellegent artificial ,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,Networking Media Sites ,Arrey Frequence ,Communication Flow ,"stock market, marketing, images, business, physcology / human nature, current events, Integrated Marketing Communication ",I'm suggest ideas for Thanksgiving day ,,
10/25/2022 3:48:02,0,,Data Analysis,data analyst job listing  data analysis,Data mining,Data Analysis with Pandas,40 min,O,Oo,O,stock market,None,,
10/25/2022 4:23:39,I am New on this language ,,Machine Learning,,Machine learning project,"Machine Learning Prediction, Machine Learning Cluster",15 min,,,,"stock market, medical / healthcare, images, nlp",,,
10/25/2022 8:35:04,1,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",Data visualization ,"NLP Text generation, Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,"medical / healthcare, images",,,
10/27/2022 6:57:43,1 year,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",.,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas",40 min,2 months ,0.5,2 months,"stock market, medical / healthcare, marketing, images, nlp, nature, business, physcology / human nature, current events",.,,
10/28/2022 3:48:59,1 year,,Deep Learning,Google Stock Prediction with Tensorflow using LSTM,Text summarization,NLP Text generation,20 min,1 year,1 year,no ,nlp,,,
11/2/2022 3:26:06,three years,,Machine Learning,Ukraine War Data Analysis,using keras for deep learning projects,Machine Learning Prediction,30 min,six months,one year ,none,medical / healthcare,you are an awesome tutor,,
11/8/2022 10:35:39,1,,Data Analysis,data analyst job listing  data analysis,Learn pandas from basic to expert level covering every aspect of it in detail and easy manner,Data Analysis with Pandas,30 min,0,0.5,0,stock market,,,
11/12/2022 7:37:00,1,,Data Analysis,Ukraine War Data Analysis,I would like a guided project as the dollar affects the world.,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,,1,1,"marketing, business","The structure that I have seen in the projects has been very good, for now there are no aspects to improve.",,
11/15/2022 7:34:36,2,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, ClassicCars MPG Prediction, data analyst job listing  data analysis, data analysis of Sri Lanka Economy",I want to see the project using the Support Vector Machine method,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",20 min,1,2,0,business,"Please, in the project, use data that is quite large in size and contains a lot of missing values, noise, etc. (the data is really dirty) so that it is more challenging.",,